date,min_temp,max_temp,mean_temp,relative_humidity,daytime_precipitation,nighttime_precipitation,total_precipitation,sunshine_hours
01-01-2018,19.5,26.4,21.9,88.7,1.9,4.9,6.8,2.3
02-01-2018,18.4,28,22.6,82.3,0,6.4,6.4,3.6
03-01-2018,18.8,28.2,22.1,80.7,6.3,27.8,34.1,5.9
04-01-2018,18.4,28.8,21.7,83.7,0.3,0,0.3,6.3
05-01-2018,19.4,28.2,22.5,83,2,28.2,30.2,5.8
06-01-2018,19.2,28.6,23.1,80,0,30.3,30.3,6.8
07-01-2018,17.4,29,22.4,84,0,0.8,0.8,7.8
08-01-2018,18.8,29.4,22.5,82.7,0,7,7,6.9
09-01-2018,18.1,22.2,19.6,96.3,17.1,0.5,17.6,0
10-01-2018,16.6,28.8,21.8,82,0,0,0,7.5
11-01-2018,18.6,28.7,23,81,0.4,2.9,3.3,3.1
12-01-2018,19.6,27.4,21.7,87,1.4,0.2,1.6,2.3
13-01-2018,19,27.6,22.4,85.3,0,0,0,2.7
14-01-2018,19.3,27.2,22.6,81.7,0,5.7,5.7,3.3
15-01-2018,19,28,22.6,82,0,0.8,0.8,5.9
16-01-2018,19.5,28,22,86,0.2,0.8,1,4.1
17-01-2018,19.4,26.2,21.8,86.3,7.8,4.7,12.5,1.9
18-01-2018,18.8,27.2,22.3,86.3,0,47,47,1.7
19-01-2018,19.4,28.6,22.5,81,0.2,0,0.2,5.1
20-01-2018,18.8,29.2,22.9,79.3,0,0,0,3.6
21-01-2018,17.8,29,23.5,77.7,0,0,0,5.7
22-01-2018,18.6,24.2,21.7,87.7,0,0,0,0
23-01-2018,18.2,28,22.6,82,0,0,0,3
24-01-2018,18.4,30.2,23.7,78.3,0,0,0,7.9
25-01-2018,18.6,28.4,22.8,83,0,0,0,0.4
26-01-2018,17.2,29.2,23.2,80.3,0,0.7,0.7,5.1
27-01-2018,18.4,31.2,24.2,74.3,0,0.1,0.1,9.1
28-01-2018,20,29.2,24.2,82,0,21,21,3
29-01-2018,20,30.2,24.3,79,0,0,0,4.4
30-01-2018,20.2,29.6,24.5,80.7,0,0,0,5.3
31-01-2018,20.6,28.6,23.5,85.7,0,0,0,1.7
01-02-2018,17.2,31.2,23.8,78,0,0,0,8.7
02-02-2018,19.9,28.6,22.4,87,35.3,0.3,35.6,1.7
03-02-2018,20,28.8,23.8,84.7,0,0.7,0.7,2.3
04-02-2018,20.6,30.2,24.3,82.7,0,0.4,0.4,7.5
05-02-2018,20.4,30.6,24.8,77,0,0,0,6.3
06-02-2018,19.8,31.2,24.4,77.3,0,0,0,7.7
07-02-2018,20.2,32.2,24.8,73.3,0,0,0,8.9
08-02-2018,20,32,24.9,75.7,0,0,0,8.5
09-02-2018,19.6,31.2,25,73.3,0,0,0,8.1
10-02-2018,19.8,30.6,25.1,76.3,0,3,3,5
11-02-2018,20,28.4,23.7,85,0,4.9,4.9,1
12-02-2018,20.4,29.6,23.5,79.7,0,0,0,4
13-02-2018,18.4,30.6,23.8,76,0,0,0,8.4
14-02-2018,19.4,30.8,22.4,81.3,7.1,0,7.1,6.7
15-02-2018,19.6,30.2,23.3,80,0.2,0,0.2,5.3
16-02-2018,19.2,30.6,23.9,76.7,0,17.2,17.2,6.8
17-02-2018,19.4,29.6,23.1,82.3,0,0,0,4.2
18-02-2018,19.6,30.6,24.3,74.3,0,0.2,0.2,8.4
19-02-2018,19.8,28.6,23.3,81,0,1,1,4.3
20-02-2018,19.6,27.4,22.4,84.7,0.2,0,0.2,1.9
21-02-2018,19.8,30.2,24,76.7,0,46.3,46.3,9
22-02-2018,18.8,24.6,20.5,93.3,12.2,0,12.2,1.1
23-02-2018,19,28.2,22.3,78.3,0.1,11.3,11.4,2.8
24-02-2018,18.4,27.4,22.3,80,3.7,5.6,9.3,4.7
25-02-2018,18,28.6,22.4,78,6.2,0.1,6.3,6.2
26-02-2018,16.4,30.6,22.5,73.3,0,0,0,10.3
27-02-2018,15.6,29.6,23.1,72.7,0,0,0,8.1
28-02-2018,16.8,31,23.5,73.3,0,0,0,8.3
01-03-2018,18,32,24.3,72,0,0.4,0.4,9.4
02-03-2018,19.4,28.4,23.8,80,0,0,0,2.9
03-03-2018,19.6,31.2,25.5,73,0,26.7,26.7,9.5
04-03-2018,19.8,29.2,23.6,83.3,0,0,0,6.2
05-03-2018,18.6,30.4,24.4,75,0,17.8,17.8,7
06-03-2018,19.6,29.2,23.6,82.3,0,0,0,4.3
07-03-2018,18.2,31.6,25.2,75.7,0,2.8,2.8,8.8
08-03-2018,20.4,30.6,24.5,80,3,0,3,6.6
09-03-2018,20.5,32.6,26,76.7,0,0,0,6.8
10-03-2018,19.4,33.2,25.6,71.3,0,0,0,6.7
11-03-2018,17.8,32.6,25.3,72,0,0,0,7.5
12-03-2018,18,32,25.1,73.7,0,0,0,7.4
13-03-2018,19.8,31.6,24.9,72.3,0,0,0,5.6
14-03-2018,19.2,31.2,24.7,74,0,0,0,5.6
15-03-2018,19.4,29.8,23.7,79,0,0,0,2.1
16-03-2018,17.8,31.2,24.9,72,0,0.4,0.4,6.4
17-03-2018,18.8,32.2,25.5,71,0.2,2.2,2.4,8.6
18-03-2018,19,31.2,25,71.3,0,0,0,7.8
19-03-2018,20.2,31.4,24.8,74.7,0,33.5,33.5,7.1
20-03-2018,19.4,29.6,23.3,86.3,0.4,0,0.4,3.7
21-03-2018,20.4,30.6,24.7,78.3,0,0,0,5.1
22-03-2018,18.8,29.4,22.2,86.7,17.3,0.2,17.5,1.2
23-03-2018,18.6,31,24.1,77.7,0,19.5,19.5,8.3
24-03-2018,18.5,29.8,22.6,82.7,0,0,0,5.5
25-03-2018,18.6,32.4,24.7,76.7,0,16.3,16.3,8.8
26-03-2018,19.2,30.2,24.1,81.3,0,0.4,0.4,5.6
27-03-2018,20.2,30,23.5,80.3,0,0,0,3.8
28-03-2018,18.4,29.6,23.9,77.3,0,9.3,9.3,5.9
29-03-2018,20.2,25.6,22.4,89.7,6.5,27.4,33.9,0
30-03-2018,18.5,28.4,22,86.7,2.5,0.4,2.9,3.4
31-03-2018,19.6,28.6,23.5,83.3,0,33.1,33.1,3.9
01-04-2018,18,29.6,23.1,79,0,0.9,0.9,5.8
02-04-2018,19.4,25,20.7,93.3,3.8,0,3.8,0
03-04-2018,19.2,28.6,22.9,85.3,0,46.3,46.3,3.4
04-04-2018,19.4,28.2,22.2,83.7,0,0,0,2.6
05-04-2018,18.4,28.8,23.3,78.3,0,6,6,4.8
06-04-2018,18.3,24.8,21.2,87,0.2,0,0.2,0.3
07-04-2018,17.4,30.6,23.3,74.3,0,0,0,7.3
08-04-2018,16.5,31.2,23.3,76,0,0,0,9
09-04-2018,18.4,31,24.1,75.7,0,37.3,37.3,8.4
10-04-2018,19,28.2,22.7,83,0,14,14,4
11-04-2018,18.6,28,23.5,81.3,0,65.6,65.6,3.7
12-04-2018,18,27.6,22.1,84,0.3,0,0.3,5.3
13-04-2018,18.2,28.8,22.3,86,0.6,34.9,35.5,5.6
14-04-2018,19,29,22.7,76.3,0,0.5,0.5,6.2
15-04-2018,18.6,28.8,23.5,77.3,0,0,0,5.7
16-04-2018,18.8,29.4,22.8,83.3,0,0,0,4.7
17-04-2018,19.8,27.2,23,84,0,29.1,29.1,0
18-04-2018,19.6,26.2,22.6,87.7,1.9,0,1.9,0.2
19-04-2018,18.8,28.2,23.7,87,0,1.3,1.3,4.8
20-04-2018,20,25.8,22.7,89,0,0,0,0
21-04-2018,19.2,29.8,22.3,85,0,6.8,6.8,5.2
22-04-2018,19.8,30.4,23.1,84.7,0,0,0,0.1
23-04-2018,19.2,29.6,23.8,74,0,15.8,15.8,6.4
24-04-2018,19,28.6,22.9,81.3,0,0,0,3.4
25-04-2018,19.2,25.8,22.7,79.3,0,0,0,1
26-04-2018,19.8,27.8,22.5,80.7,1,0,1,1.9
27-04-2018,19,22.6,20.4,90.3,3.2,1.1,4.3,0
28-04-2018,18.4,26.4,21.8,90.3,0,14.6,14.6,2.7
29-04-2018,18.8,23.6,20.7,88,0,0,0,0.1
30-04-2018,17.8,29.5,23.5,76.3,0,9,9,8.6
01-05-2018,18.6,29.2,23.5,79.3,0,1,1,6.5
02-05-2018,19.4,29.4,21.6,82,0.2,0,0.2,2
03-05-2018,17.6,27,22,79,0,0.3,0.3,1.1
04-05-2018,17.4,29.5,22.1,80.3,1.2,0,1.2,3.8
05-05-2018,18.4,24.8,21,87.3,4,0,4,2.3
06-05-2018,17.6,28.6,21.9,84.3,0.8,0,0.8,6
07-05-2018,18.8,28,22.5,84,1.4,4.1,5.5,4
08-05-2018,18,26.6,21.2,83.3,0.3,17.7,18,5
09-05-2018,17.8,27.2,21.7,82.3,0.2,1.4,1.6,4.4
10-05-2018,18.4,29,23.2,78,0,0,0,7.2
11-05-2018,19.4,28.6,22.9,77.7,0,0,0,2.7
12-05-2018,17.8,29.4,22,80,22,75.7,97.7,3.2
13-05-2018,18,25.6,21.2,87,0.3,6.1,6.4,0.7
14-05-2018,18.6,29,21.1,83,37.8,2.1,39.9,4.4
15-05-2018,17.8,27,22.6,83.7,0.1,0.7,0.8,3.5
16-05-2018,17,26.8,21.6,84.3,0.9,0,0.9,4.2
17-05-2018,17.6,27.6,22.9,79,0,0,0,1.9
18-05-2018,19.6,27.9,22.8,81.3,0,38,38,3.4
19-05-2018,18,28,22.2,80.7,0,4.4,4.4,5.4
20-05-2018,18.4,26.2,22,87.3,0.2,1.1,1.3,2.4
21-05-2018,19.4,25,21.1,88,28.3,0,28.3,1.1
22-05-2018,18,29.2,23,75.7,0.1,45.9,46,6.6
23-05-2018,18.1,25.4,21.4,84.3,0,0,0,1.8
24-05-2018,18.2,29.4,22,79.7,0.6,0,0.6,6.6
25-05-2018,18.4,29.8,23.6,80,0,36.9,36.9,7
26-05-2018,19,25.2,21.5,92,0.5,6.5,7,0.6
27-05-2018,18.6,27,22.5,85.3,3.1,26.9,30,2
28-05-2018,19,25.6,22.5,85.7,0,0,0,1
29-05-2018,18.4,29.8,23.5,79.7,0,1.1,1.1,5.8
30-05-2018,18.6,27.6,22.9,80.3,0,0,0,2.7
31-05-2018,18.4,30,23.8,74.3,0,0,0,6.6
01-06-2018,19.4,26.6,21.5,90,3.6,0.2,3.8,0.8
02-06-2018,18.2,29.2,23.8,80.3,0,0.8,0.8,6.2
03-06-2018,19.2,28.8,23.6,78.7,0,2.7,2.7,5.9
04-06-2018,19.6,27.4,23.6,81,0,13.2,13.2,2
05-06-2018,19.5,28.4,23.3,87,0,1.8,1.8,3
06-06-2018,19.8,25.6,22.6,88.7,1.2,0,1.2,0.3
07-06-2018,19.2,29.4,24.3,77,0,0,0,5.2
08-06-2018,20,31.4,25.2,73.7,0,14.8,14.8,6.9
09-06-2018,20.4,28.4,23.6,84,0,2.9,2.9,0.9
10-06-2018,19.6,25,21.7,87,0,2.9,2.9,0
11-06-2018,18.6,28.6,22.6,83,44.4,3.8,48.2,4
12-06-2018,18.5,26.8,22.2,81.7,0,0,0,3.1
13-06-2018,17.6,29,23.2,77.3,0,1.1,1.1,4.9
14-06-2018,17.8,27.4,22.4,83.7,0,2.1,2.1,3.3
15-06-2018,19.2,28,22.7,82.7,0,0,0,3
16-06-2018,18,30.6,23.8,74.7,0,0,0,8.3
17-06-2018,18.4,30.2,24.3,77.3,0,4,4,6.8
18-06-2018,18.3,28.6,23.2,80.7,0,8.4,8.4,3.3
19-06-2018,18.6,27.2,22.8,82.7,0,1.1,1.1,2.8
20-06-2018,19.2,28.6,23.5,77.7,0,3.1,3.1,5
21-06-2018,19,29.6,23.3,76.3,0.6,0,0.6,5.8
22-06-2018,19.6,30.2,24,72,0,20.4,20.4,7.6
23-06-2018,18,27.6,22.6,81,0,0.9,0.9,3.1
24-06-2018,18.4,28.6,22.6,78,1.3,25,26.3,4.4
25-06-2018,16.6,27,21.4,84.3,0,0,0,1.6
26-06-2018,18.2,28.2,22.8,80,0,0,0,3.2
27-06-2018,18,28.6,21.5,82,2.8,24.3,27.1,5.4
28-06-2018,17.8,27,21.1,82.7,1.1,15.2,16.3,3.1
29-06-2018,18.2,27.6,22.3,81,0.3,14.9,15.2,5.3
30-06-2018,18,27.5,21.7,81.3,1.2,0,1.2,5.3
01-07-2018,17.8,28.6,23.1,78,0,57.5,57.5,6.6
02-07-2018,18,25,21,85.3,0.4,2.7,3.1,1.4
03-07-2018,17.8,27.4,21.2,88,2.6,0,2.6,4
04-07-2018,17.4,30.2,23.4,76.7,0,0,0,7.6
05-07-2018,18.6,28.2,23.4,79.7,0,2.5,2.5,4.3
06-07-2018,18.8,28.8,22.2,82.7,3.4,8,11.4,5.2
07-07-2018,18.6,28,22.8,84,0.2,0,0.2,2.9
08-07-2018,17.4,30.6,24.1,77.3,0,0.1,0.1,8
09-07-2018,17.8,29,22.9,79,0,0,0,2.2
10-07-2018,17.2,29.6,23.3,75,0,0.4,0.4,5.6
11-07-2018,18.4,29.7,23.1,76,0,6.2,6.2,5.7
12-07-2018,17.4,30.6,24,75,0,0,0,8
13-07-2018,18.6,30.8,23.7,77.7,0.1,0,0.1,3.2
14-07-2018,18.4,31.6,24.3,74,0,2.3,2.3,8.5
15-07-2018,19,30.6,24.2,76.7,0,5.5,5.5,7.6
16-07-2018,19.4,28.8,22.8,82.3,0,0,0,4.7
17-07-2018,17.4,28.6,22.7,79,0,0,0,4
18-07-2018,18.4,29.8,23.8,72.7,0,1.2,1.2,5.3
19-07-2018,18.6,31,24.9,76.3,0,0,0,7.6
20-07-2018,19,29.6,24.4,74,0,0,0,4.4
21-07-2018,18.6,30.8,24.8,73.3,0,0.6,0.6,7.6
22-07-2018,19.2,26.6,22.6,82,0,0,0,0
23-07-2018,17,30,23.4,75.7,0,9.2,9.2,6.9
24-07-2018,18.2,25.4,21.4,87.3,0.5,0,0.5,0.8
25-07-2018,16.6,30.8,23.9,73,0,12.1,12.1,8.5
26-07-2018,18.8,27.4,22.5,82.7,0,11.5,11.5,1.5
27-07-2018,19.2,26.2,21.3,91,12,3.6,15.6,1.7
28-07-2018,18.6,29.2,23.4,76.7,0,0.2,0.2,6.4
29-07-2018,19.4,29,23.4,76.7,0,0.7,0.7,7.7
30-07-2018,19,26.6,22,84.7,4.9,18.6,23.5,3.2
31-07-2018,18,25.6,21.4,84.3,0,0,0,0.8
01-08-2018,18.4,29,23.2,77.7,0.2,1.4,1.6,5.2
02-08-2018,18.2,30,23.2,76.7,0,1.7,1.7,7.7
03-08-2018,19,30.1,22.6,73.3,3.1,20.7,23.8,6.9
04-08-2018,17.6,28.6,22.9,75.3,0,2.3,2.3,8.3
05-08-2018,17.8,25.6,20.5,86.3,1,0,1,1.8
06-08-2018,16.6,29.4,23.7,73.3,0,0,0,5.7
07-08-2018,17,30.4,24,75.3,0,0,0,7.5
08-08-2018,17.4,32,24.2,73.3,0,3.2,3.2,9.2
09-08-2018,17.2,30.6,23.6,74.3,0,0,0,6
10-08-2018,16,31.8,23.3,72.3,0,0,0,9.2
11-08-2018,14.2,31.6,23,71,0,0,0,9.9
12-08-2018,16.4,29.6,23.1,77.7,0,0,0,6
13-08-2018,18.2,29.8,23.2,74,0,19.2,19.2,5.4
14-08-2018,18,23.6,19.6,91.3,34,0,34,1.4
15-08-2018,17.6,27,21.3,80.7,0,0,0,4
16-08-2018,15.6,30.8,23.7,75,0,0,0,10
17-08-2018,16.6,31,23.2,72.7,0,0,0,9.9
18-08-2018,17.2,30.2,23.9,73.7,0,9,9,8.7
19-08-2018,19,27.6,22.3,83.3,0,0,0,5.7
20-08-2018,16.2,30,23.6,74.3,0,0,0,7.3
21-08-2018,16.6,30.4,22.8,78.3,0,0,0,6.7
22-08-2018,18.8,30.2,24.1,75,0,0,0,5
23-08-2018,17.4,30.6,23.8,72,0,10.9,10.9,7.9
24-08-2018,18,30,23.6,78,0,6.4,6.4,6.3
25-08-2018,18.4,30.6,24.3,75.3,0,0.2,0.2,8.1
26-08-2018,18.5,30,24.1,76.3,0,9.9,9.9,5.2
27-08-2018,19,29,23.1,77.3,0,0,0,7.2
28-08-2018,16.2,26.2,21.6,85.7,0,0,0,4.7
29-08-2018,17.6,28.8,23.3,75.7,0,0.3,0.3,4.4
30-08-2018,19,28.2,22.1,80.3,0,6,6,3.8
31-08-2018,18,30.2,23.3,75.7,0,0.7,0.7,6.5
01-09-2018,18,31.4,22.6,80.3,1.2,1.8,3,9.4
02-09-2018,19,29.6,23.7,77,0,0.9,0.9,4.8
03-09-2018,18,30,23,76.7,0,2.7,2.7,8.5
04-09-2018,18.6,27,21.8,84.3,0,0,0,3.8
05-09-2018,18,27.4,21.6,83.3,0.3,1.4,1.7,3.4
06-09-2018,18.2,28.2,23,76,0,11.2,11.2,3.7
07-09-2018,18.8,28.4,22.2,80.3,0,10.8,10.8,3.7
08-09-2018,18.4,29.6,23.7,76.7,0,0.2,0.2,7.9
09-09-2018,18.2,29.2,23.2,80.3,0,1.2,1.2,4.9
10-09-2018,18,30.4,23.7,76.7,0,33.4,33.4,8.5
11-09-2018,18.1,28.4,23,79,0,1,1,3
12-09-2018,18.8,28.2,23,79.7,0,2.9,2.9,4.6
13-09-2018,18.6,25.4,20.4,95,18.1,18,36.1,0.7
14-09-2018,17.8,28.2,22.3,76,0,17.4,17.4,3.9
15-09-2018,18.1,27.9,21.4,83,5.2,12.8,18,4.5
16-09-2018,17.4,26.6,20.7,83.3,0.6,0,0.6,1.2
17-09-2018,17.2,29.6,23,73,0,0,0,9
18-09-2018,19,30.6,24.3,70,0,55.9,55.9,7.4
19-09-2018,17,29,22.1,80.3,0,0,0,4.8
20-09-2018,17.6,31.2,24.2,74.7,0,0,0,8.4
21-09-2018,17.8,30.2,23.4,75.3,0,6.1,6.1,5.4
22-09-2018,18.4,29.4,24,77.3,0,0,0,2.5
23-09-2018,19,29.4,23.6,80,0,0,0,4.6
24-09-2018,18.8,29.8,24.2,76,0,0,0,6.3
25-09-2018,19,29,23.6,74.3,0,0,0,3.8
26-09-2018,17,30.2,23.4,75.7,0,8.8,8.8,6.9
27-09-2018,18.6,25.4,21.7,87,1.2,0.1,1.3,0.8
28-09-2018,18,29,22.3,79.7,0,0,0,3.6
29-09-2018,18.6,29.8,22.6,76.7,0,0,0,4.5
30-09-2018,17.4,28,21.8,81.3,0,0,0,3.2
01-10-2018,19,28.2,22.8,80.7,0,0,0,3.8
02-10-2018,18.4,29.8,23.1,76.7,0,0,0,4.9
03-10-2018,18.3,29.4,23.2,79.7,0,0,0,5
04-10-2018,18.2,29.6,22.6,77.7,1.3,32.1,33.4,5.4
05-10-2018,17.6,27.4,22.3,77,1.8,14.9,16.7,4.2
06-10-2018,16.8,24.6,20.9,82.7,0.7,0.2,0.9,2.2
07-10-2018,18.4,29.6,23.8,75.3,0,8.5,8.5,5.5
08-10-2018,18.6,24.2,20.8,87.7,0,0,0,1.6
09-10-2018,17,27,22.1,82.7,0,3,3,2.1
10-10-2018,18.6,28.4,22.8,81,0,39.2,39.2,4.7
11-10-2018,16.8,27.8,21.8,76.3,0,0.5,0.5,6.7
12-10-2018,18.2,25.2,21.7,84.3,0,0,0,2.4
13-10-2018,18.4,29.6,22.2,73.7,0,0,0,6.7
14-10-2018,16,30,23,73.7,0,10.9,10.9,9.5
15-10-2018,17.6,29.4,23.1,77.3,0,0,0,6.6
16-10-2018,18.4,27.4,21.8,83.3,1.8,0,1.8,1.5
17-10-2018,18,27.3,21.6,85,1.2,0,1.2,3.9
18-10-2018,18.6,29.2,21.8,82.7,4.1,0,4.1,6
19-10-2018,18.4,29,22.7,80,0,1,1,4.8
20-10-2018,18,28,21.4,82.7,10.5,2,12.5,6.2
21-10-2018,17,26.4,21.6,82,0,0,0,1
22-10-2018,18,29.2,23.1,78.3,0,2.3,2.3,3.1
23-10-2018,19.6,28.3,23,78.7,0,1.9,1.9,4.1
24-10-2018,19.2,28.8,23.4,78.7,0,6.2,6.2,5.5
25-10-2018,19.6,29,23.4,79.3,0,4.2,4.2,4.6
26-10-2018,19.4,27.6,22.4,83.7,0,5.2,5.2,3.4
27-10-2018,18.6,28.8,22.8,84.3,14.2,2.9,17.1,5.4
28-10-2018,19.6,28.9,23.3,79.3,0,18.4,18.4,5.5
29-10-2018,19,28.2,22.3,81.3,0,0,0,1.9
30-10-2018,18.6,27.8,21.7,82,7.3,0,7.3,3.3
31-10-2018,18.4,29.4,22.9,78.7,0,0,0,5.5
01-11-2018,18.6,28.6,21.2,84.7,47.9,9.4,57.3,2.5
02-11-2018,18,27.6,21.3,83.7,5.4,0.2,5.6,2.6
03-11-2018,18.4,27.4,21.2,82,4.9,0,4.9,4.1
04-11-2018,18.2,28.2,21.4,81.3,8.7,3.2,11.9,1.7
05-11-2018,18.3,27.2,21.7,81.3,0,0.5,0.5,2.6
06-11-2018,18.6,29.2,22.6,74.7,0,0.4,0.4,7.7
07-11-2018,18,30.2,23.4,75,0,19.7,19.7,9.3
08-11-2018,17.6,29.6,22.5,77,0,11.3,11.3,7.4
09-11-2018,19,26.6,22.3,81.7,0,1.2,1.2,0.7
10-11-2018,19.2,29.2,23,82,0,0,0,4.6
11-11-2018,19.4,29.6,23.6,78.3,0,0.4,0.4,5.6
12-11-2018,19.6,27.4,22.8,82.7,0,0,0,1.6
13-11-2018,18.4,30,22,80.7,14,0.6,14.6,4.4
14-11-2018,19.2,28.6,22,81.7,12.2,0,12.2,4
15-11-2018,18.6,29.2,23.5,77.7,0,0,0,8.8
16-11-2018,19,30.2,23.2,79.3,0,0,0,6.2
17-11-2018,18.6,28.6,22.8,80.3,6.4,0,6.4,6.2
18-11-2018,18.5,30,21.5,81,46.7,5.6,52.3,5.3
19-11-2018,18.6,26.2,22.2,85,0,2.2,2.2,1.6
20-11-2018,19.4,28.6,23.1,79,0,9.1,9.1,6.7
21-11-2018,19.8,26.2,22.2,82,0.5,0,0.5,2.3
22-11-2018,17.2,29.2,23.1,76.3,0,0,0,8.4
23-11-2018,19,29.6,22.9,76,0,0.8,0.8,5.5
24-11-2018,19.2,30,23.9,76.3,0,20.5,20.5,8.7
25-11-2018,19.8,28.2,23.5,82.3,0,3.1,3.1,3.3
26-11-2018,19.8,27,21.9,85.7,10.3,2.3,12.6,2.2
27-11-2018,18.4,23.8,21.2,88.3,0.5,0,0.5,0.7
28-11-2018,18.6,27.6,21.8,81,0,0,0,2.9
29-11-2018,16.4,29.6,23,77.3,0,24.2,24.2,6.8
30-11-2018,19.2,28.2,22.3,82,0,15.5,15.5,3.2
01-12-2018,18.6,27.8,21.8,80.7,0,0.1,0.1,4.2
02-12-2018,18.2,27.6,21.7,82.7,0,0,0,3.1
03-12-2018,19.4,27.8,22.5,80,0,1.4,1.4,6.1
04-12-2018,19.2,28,22.4,82,0,3.7,3.7,4.3
05-12-2018,18.6,26.2,21.7,84,0,23,23,2.2
06-12-2018,18.2,27.2,21.5,80.3,2,18.7,20.7,3.4
07-12-2018,18.6,28.4,23.1,79.7,0,1.4,1.4,7.5
08-12-2018,18.4,28.8,23.5,77,0,0,0,5.5
09-12-2018,18.6,29.2,23.2,76,0,0,0,8.1
10-12-2018,16.2,29.4,22.5,78,0,0,0,7.2
11-12-2018,18,28.2,23,79.3,0,0,0,2.9
12-12-2018,19.2,28.6,23.4,78.7,0,0.4,0.4,3.6
13-12-2018,19,28,23.1,78,0,6.2,6.2,3.6
14-12-2018,17.6,27.6,22.2,80.3,0,0,0,4.6
15-12-2018,17,28.6,21.9,81,0,0,0,6.4
16-12-2018,16.8,30,23.1,76,0,0,0,9.3
17-12-2018,19,29,23,77.3,0,0,0,4.2
18-12-2018,17.6,29.6,22.7,77.3,0,0,0,8
19-12-2018,18.4,28.6,22.7,77.3,0,0,0,3.2
20-12-2018,17.5,29.6,23.7,75.3,0,0,0,6.1
21-12-2018,17.6,29.2,23.2,76,0,0,0,3.3
22-12-2018,18.4,28,22.6,79.7,0,0,0,5.3
23-12-2018,17.5,29.8,23.8,72.3,0,0,0,7.5
24-12-2018,17,28.2,22.2,76.7,0,0,0,2.1
25-12-2018,16.6,29.8,23.1,75.3,0,0,0,5.8
26-12-2018,17.4,30.6,23.8,74.3,0,0,0,9.1
27-12-2018,18.4,29.6,23.7,74.3,0,0,0,6.3
28-12-2018,17.6,27.8,23.2,75,0,0,0,1.7
29-12-2018,16,31,23.3,73.7,0,0,0,7.8
30-12-2018,17.5,29.6,23.5,73.3,0,0,0,6.1
31-12-2018,16.8,30.6,23.6,72.7,0,0,0,8
